primary_county,credentials,credentials-other,license,volunteer_county
"	Stanly",RN,,Active,"	Cabarrus,	Rowan,	Stanly"
"	Guilford",NP,,Active,"	Forsyth,	Guilford"
"	Davidson",NP,,Active,"	Davidson,	Forsyth"
"	Craven",RN,,Active,"	Beaufort,	Craven,	Jones,	Pitt"
"	Buncombe",Retired,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Johnston",NP,,Active,"	Johnston,	Nash,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Buncombe",RN,,Active,"	Buncombe"
"	Stokes",RN,,Active,"	Forsyth,	Stokes"
"	Johnston",RN,,Active,"	Johnston"
"	New Hanover",RN,,Active,"	New Hanover"
"	Lee",Retired,,Active,"	Chatham,	Lee,	Moore"
"	Henderson",RN,,Active,"	Henderson"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Wake","Other, please specify:",CRNA,Active,"	Durham,	Wake"
"	Wilson",RN,,Active,"	Nash,	Wayne,	Wilson"
"	Sampson",RN,,Active,"	Sampson"
"	Buncombe",Retired,,Inactive,"	Buncombe,	Madison"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson"
"	Guilford",NP,,Active,"	Guilford"
"	Wake",RN,,Active,"	Chatham,	Lee,	Orange,	Wake"
"	Wake",RN,,Active,"	Chatham,	Durham,	Franklin,	Granville,	Harnett,	Johnston,	Orange,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Caldwell",RN,,Active,"	Alexander,	Burke,	Caldwell,	Catawba,	Watauga,	Wilkes"
"	Yadkin",RN,,Active,"	Yadkin"
"	Lincoln",RN,,Active,"	Gaston,	Lincoln"
"	Carteret",RN,,Active,"	Carteret,	Onslow"
"	Polk",RN,,Active,"	Henderson,	Polk,	Rutherford"
"	Durham",NP,,Active,"	Durham,	Orange"
"	Pender",NP,,Active,"	New Hanover,	Pender"
"	Durham",NP,,Active,"	Durham"
"	Wake",RN,,Active,"Alamance,	Cumberland,	Durham,	Granville,	Orange,	Wake"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Cumberland",RN,,Active,"	Cumberland"
"	Wake",NP,,Active,"	Wake"
"	Guilford",RN,,Active,"Alamance,	Guilford"
"	Forsyth",NP,,Active,"	Forsyth"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Forsyth",RN,,Active,"	Forsyth,	Watauga"
Alamance,NP,,Active,"Alamance,	Guilford"
"	Franklin",RN,,Active,"	Franklin,	Granville,	Wake"
Alamance,RN,,Active,"Alamance,	Guilford"
"	Johnston",,,Active,"	Johnston,	Wake"
"	Guilford",RN,,Active,"Alamance,	Guilford,	Rockingham"
"	Lincoln",RN,,Active,"	Lincoln"
"	Wake",RN,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Forsyth"
"	Cumberland",NP,,Active,"	Cumberland"
"	Wake",NP,,Active,"	Durham,	Wake"
"	Wake",NP,,Active,"	Catawba,	Durham,	Orange,	Wake"
"	Wilkes",RN,,Active,"	Wilkes"
"	Wake",NP,,Active,"	Durham,	Wake"
"	Lee",,,Active,"	Chatham,	Durham,	Harnett,	Lee,	Moore,	Wake"
"	Guilford","Other, please specify:",APRN,Active,"	Forsyth,	Guilford,	Stokes,	Surry"
"	Wilson",RN,,Active,"	Wilson"
"	Johnston",RN,,Active,"	Franklin,	Johnston,	Wake,	Wilson"
"	Wake",RN,,Active,"	Wake"
"	Wake",NP,,Active,"	Chatham,	Durham,	Johnston,	Orange,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson,	McDowell,	Madison,	Rutherford,	Transylvania"
"	Forsyth",RN,,Active,"	Forsyth"
"	Guilford",NP,,Active,"	Forsyth,	Guilford"
