primary_county,credentials,credentials-other,license,volunteer_county
"	Franklin",RN,,Active,"	Durham,	Franklin,	Nash,	Vance,	Wake,	Warren"
"	Craven",RN,,Active,"	Craven,	Pitt"
"	Durham","Other, please specify:",Crna,Active,"	Chatham,	Durham,	Orange"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Iredell,	Mecklenburg"
"	New Hanover","Other, please specify:",CRNA,Active,"	New Hanover,	Pender"
"	Carteret","Other, please specify:",CRNA,Active,"	Beaufort,	Carteret"
"	Forsyth",Retired,,Active,"	Forsyth"
"	Guilford",Retired,,Inactive,"	Davidson,	Guilford"
"	Stokes","Other, please specify:",CRNA,Active,"	Forsyth,	Stokes,	Surry"
"	Cabarrus",RN,,Active,"	Cabarrus"
"	Guilford","Other, please specify:",CRNA,Active,"	Guilford"
"	Forsyth",NP,,Active,"	Forsyth,	Stokes,	Yadkin"
"	Union",RN,,Active,"	Mecklenburg,	Union,	Watauga"
"	Guilford","Other, please specify:",CRNA,Active,"	Forsyth,	Guilford"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Mecklenburg","Other, please specify:",APRN,Active,"	Cabarrus,	Mecklenburg"
"	Wake","Other, please specify:",CRNA,Active,"	Chatham,	Durham,	Wake"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Buncombe","Other, please specify:",CRNA,Active,"	Buncombe,	Haywood,	Henderson,	Jackson,	McDowell,	Madison,	Rutherford,	Transylvania,	Yancey"
"	Wake","Other, please specify:","CRNA DNP Advanced Practice Nurse , RN ",Active,"	Beaufort,	Hyde,	Wake"
"	Pender",RN,,Active,"	New Hanover,	Pender"
"	Guilford",RN,,Active,"	Guilford"
"	Craven",RN,,Active,"	Beaufort,	Carteret,	Craven,	Jones,	Onslow,	Pamlico,	Pitt"
"	Wake",RN,,Active,"	Durham,	Harnett,	Orange,	Wake"
"	Cabarrus",RN,,Active,"	Anson,	Cabarrus,	Mecklenburg,	Moore,	Richmond,	Stanly"
"	Orange",RN,,Active,"	Durham,	Orange"
"	Wake","Other, please specify:",CRNA,Active,"	Brunswick,	Chatham,	Durham,	Franklin,	Johnston,	Nash,	Orange,	Wake"
"	Mecklenburg","Other, please specify:",CRNA,Active,"	Mecklenburg"
"	Wake",RN,,Active,"	Beaufort,	Brunswick,	Carteret,	Craven,	Pamlico,	Pitt"
"	Orange","Other, please specify:",CRNA,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Iredell","Other, please specify:",CRNA,Active,"	Iredell,	Mecklenburg"
"	Durham",NP,,,"	Durham"
"	Craven","Other, please specify:",CRNA ,Active,"	Craven"
"	Forsyth","Other, please specify:",Certified Registered Nurse Anesthetist,Active,"	Davidson,	Davie,	Forsyth"
"	Wake",RN,,Active,"	Franklin,	Granville,	Johnston,	Wake"
"	Forsyth",RN,,Active,"	Davidson,	Davie,	Forsyth"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson,	McDowell"
"	Wake","Other, please specify:",CRNA,Active,"	Wake"
"	Wake",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Carteret",RN,,Active,"	Carteret,	Edgecombe,	Halifax,	Nash,	Northampton,	Onslow,	Wilson"
"	Wake","Other, please specify:",CRNA,Active,"	Chatham,	Durham,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Wake",NP,,Active,"	Durham,	Wake"
"	Cumberland","Other, please specify:",CRNA,Active,"	Cumberland"
"	Catawba",RN,,Active,"	Alexander,	Catawba,	Lincoln"
"	Forsyth","Other, please specify:",CRNA,Active,"	Davie,	Forsyth"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Union","Other, please specify:","I am an attorney looking to help in other ways (admin, clerical, traffic, whatever I can do to help)",,"	Anson,	Cabarrus,	Gaston,	Mecklenburg,	Union"
"	Chatham",RN,,Active,"	Chatham,	Orange"
"	New Hanover",NP,,Active,"	Brunswick,	Columbus,	New Hanover"
"	Davie",RN,,Active,"	Buncombe,	Davie,	Forsyth,	Guilford,	Henderson,	Yadkin"
"	Wake",RN,,Active,"	Wake"
"	Brunswick","Other, please specify:",CRNA,Active,"	Brunswick,	New Hanover"
Alamance,RN,,Active,Alamance
"	Davidson","Other, please specify:",CRNA,Active,"Alamance,	Chatham,	Davidson,	Davie,	Durham,	Forsyth,	Guilford,	Orange,	Randolph,	Wilkes"
"	Forsyth",RN,,Active,"	Davidson,	Davie,	Forsyth"
"	Durham",RN,,Active,"	Durham,	Lee,	Wake"
"	New Hanover","Other, please specify:",General volunteer,,"	New Hanover,	Pender"
"	Brunswick",LPN,,Active,"	Brunswick"
"	Wake",RN,,Active,"	Wake"
"	Durham",NP,,Active,"	Durham,	Orange"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Johnston,	Madison,	Yancey"
"	Wake","Other, please specify:",CRNA,Active,"	Wake"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Wake","Other, please specify:",CRNA,Active,"	Durham,	Orange,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Jackson,	McDowell,	Madison,	Rutherford,	Transylvania,	Yancey"
"	Rowan",LPN,,Active,"	Cabarrus,	Davie,	Rowan,	Stanly"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange"
"	Forsyth",RN,,Active,"	Forsyth"
"	Granville",RN,,Active,"	Franklin,	Granville,	Wake"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Wake","Other, please specify:",retired,Active,"	Wake"
"	New Hanover",NP,,Active,"	Bladen,	Brunswick,	Columbus,	New Hanover,	Onslow"
"	Pitt",NP,,Active,"	Beaufort,	Lenoir,	Pitt,	Wilson"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Davie","Other, please specify:",CRNA,Active,"	Davidson,	Davie,	Forsyth"
"	Orange",NP,,Active,"Alamance,	Chatham,	Durham,	Mecklenburg,	Orange,	Wake"
"	Forsyth","Other, please specify:",CRNA,Active,"	Forsyth,	Guilford,	Rockingham,	Stokes"
Alamance,"Other, please specify:",Teach nursing part time,Active,"Alamance,	Graham"
"	Brunswick",RN,,Active,"	Brunswick,	Columbus,	New Hanover,	Pender"
"	Orange",Retired,,Active,"Alamance,	Caswell,	Chatham,	Durham,	Harnett,	Lee,	Orange,	Person,	Wake"
"	Durham",RN,,Active,"	Durham"
"	Mecklenburg",NP,,Active,"	Cabarrus,	Gaston,	Iredell,	Mecklenburg"
"	Brunswick",RN,,Active,"	Brunswick,	Mecklenburg"
"	New Hanover","Other, please specify:",CRNA,Active,"	Bladen,	Brunswick,	Columbus,	New Hanover"
"	Wake",NP,,Active,"	Durham,	Wake"
"	Pender",NP,,Active,"	New Hanover,	Onslow,	Pender"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Lee,	Orange"
"	Carteret",RN,,Active,"	Carteret,	Craven"
"	Wake",RN,,Active,"	Wake"
"	Lincoln","Other, please specify:",RRT,Active,"	Iredell,	Lincoln,	Mecklenburg"
"	Transylvania",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Jackson,	Polk,	Transylvania"
"	Gaston",RN,,Active,"	Cleveland,	Gaston,	Lincoln,	Mecklenburg,	Rutherford"
"	Davidson",RN,,Active,"	Davidson,	Davie,	Forsyth,	Stokes,	Surry"
"	Forsyth","Other, please specify:",CRNA,Active,"	Forsyth"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	New Hanover","Other, please specify:",CRNA,Active,"	New Hanover,	Onslow,	Pender"
"	Wake",RN,,Active,"Alamance,	Chatham,	Durham,	Franklin,	Granville,	Harnett,	Johnston,	Lee,	Orange,	Stokes,	Surry,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Wake"
"	Henderson",NP,,Active,"	Buncombe,	Henderson"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Burke",RN,,Active,"	Burke,	Caldwell,	Catawba"
"	Wake",RN,,Active,"Alamance,	Alexander,	Alleghany,	Anson,	Ashe,	Avery,	Beaufort,	Bertie,	Bladen,	Brunswick,	Buncombe,	Burke,	Cabarrus,	Caldwell,	Camden,	Carteret,	Caswell,	Catawba,	Chatham,	Cherokee,	Chowan,	Clay,	Cleveland,	Columbus,	Craven,	Cumberland,	Currituck,	Dare,	Davidson,	Davie,	Duplin,	Durham,	Edgecombe,	Forsyth,	Franklin,	Gaston,	Gates,	Graham,	Granville,	Greene,	Guilford,	Halifax,	Harnett,	Haywood,	Henderson,	Hertford,	Hoke,	Hyde,	Iredell,	Jackson,	Johnston,	Jones,	Lee,	Lenoir,	Lincoln,	McDowell,	Macon,	Madison,	Martin,	Mecklenburg,	Mitchell,	Montgomery,	Moore,	Nash,	New Hanover,	Northampton,	Onslow,	Orange,	Pamlico,	Pasquotank,	Pender,	Perquimans,	Person,	Pitt,	Polk,	Randolph,	Richmond,	Robeson,	Rockingham,	Rowan,	Rutherford,	Sampson,	Scotland,	Stanly,	Stokes,	Surry,	Swain,	Transylvania,	Tyrrell,	Union,	Vance,	Wake,	Warren,	Washington,	Watauga,	Wayne,	Wilkes,	Wilson,	Yadkin,	Yancey"
Alamance,RN,,Active,Alamance
"	Wake",RN,,Active,"	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson"
,,,,
"	Durham",NP,,Active,"Alamance,	Chatham,	Durham,	Orange,	Wake"
"	Brunswick",RN,,Active,"	Brunswick"
"	New Hanover",RN,,Active,"	New Hanover"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover,	Pender"
"	Buncombe","Other, please specify:",PA-C,Active,"	Buncombe,	Haywood,	Henderson,	McDowell,	Mecklenburg,	New Hanover,	Transylvania"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Forsyth"
"	Wake",RN,,Active,"	Chatham,	Durham,	Wake"
"	Columbus",NP,,Active,"	Bladen,	Brunswick,	Columbus,	New Hanover,	Pender,	Robeson"
"	Wake",RN,,Active,"	Durham,	Orange,	Richmond,	Wake"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Iredell",RN,,Active,"	Davie,	Iredell,	Lincoln"
"	New Hanover",RN,,Active,"	New Hanover"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson"
"	Wake",Retired,,Active,"	Wake"
"	Cumberland",RN,,Active,"	Columbus,	Cumberland,	Hoke,	Scotland"
"	Guilford",RN,,Active,"	Forsyth,	Guilford"
"	Wake",RN,,Active,"	Durham,	Franklin,	Granville,	Harnett,	Orange,	Person,	Vance,	Wake,	Warren"
"	Brunswick","Other, please specify:",RN,Inactive,"	Brunswick"
"	Brunswick","Other, please specify:",Retired RN,Inactive,"	Brunswick"
"	Buncombe",NP,,Active,"	Buncombe"
"	Mecklenburg",RN,,Active,"	Brunswick,	Iredell,	Mecklenburg"
"	Wake","Other, please specify:",CRNA,Active,"	Wake"
"	Wake",,,Inactive,"	Franklin,	Johnston,	Wake"
"	Wake","Other, please specify:",CRNA,Active,"	Wake"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Durham",RN,,Active,"	Durham"
"	Mecklenburg",RN,,Active,"	Avery,	Mecklenburg,	Watauga"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Lincoln",RN,,Active,"	Catawba,	Gaston,	Lincoln"
"	Davidson",RN,,Active,"	Davidson,	Davie,	Randolph,	Rowan"
"	Mecklenburg",RN,,Active,"	Iredell,	Mecklenburg,	Union"
"	Wake","Other, please specify:",Emergency RN Reinstatement Permit,Active,"	Durham,	Granville,	Johnston,	Wake"
"	Wake","Other, please specify:",CRNA,Inactive,"	Chatham,	Orange,	Wake"
"	Harnett",RN,,Active,"	Cumberland,	Harnett,	Johnston,	Robeson,	Sampson,	Wake,	Wilson"
"	New Hanover",NP,,Active,"	New Hanover"
"	Orange",NP,,Active,"Alamance,	Durham,	Orange,	Wake"
"	Onslow",RN,,Active,"	Onslow"
"	Wake",NP,,Active,"	Nash,	Wake"
"	Mecklenburg","Other, please specify:",Retired Critical Care RN,Inactive,"	Mecklenburg"
"	Pitt",RN,,Active,"	Beaufort,	Greene,	Lenoir,	Pitt"
"	Buncombe","Other, please specify:",Retire RN,Active,"	Buncombe,	Henderson"
"	Buncombe","Other, please specify:",Retire RN,Active,"	Buncombe,	Henderson"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Orange",RN,,Active,"	Durham,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Union","Other, please specify:",RN,Active,"	Avery,	Cabarrus,	Gaston,	Mecklenburg,	Union,	Watauga"
"	Brunswick",RN,,Active,"	Brunswick,	Columbus,	New Hanover"
"	Durham",RN,,Active,"	Durham,	Granville"
"	Wake",RN,,Active,"	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Pitt",RN,,Active,"	Halifax,	Pitt,	Warren"
"	Wake",RN,,Active,"Alamance,	Durham,	Graham,	Orange,	Vance,	Wake,	Wayne"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	Pamlico",RN,,Active,"	Pamlico"
"	Chatham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Buncombe,	Mecklenburg,	Montgomery,	Stanly,	Union"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Durham",RN,,Active,"Alamance,	Chatham,	Durham,	Granville,	Orange,	Person,	Vance"
"	Orange","Other, please specify:",Emergency reinstatement,Active,"Alamance,	Chatham,	Durham"
"	Chatham",RN,,Active,"	Chatham,	Lee,	Orange"
"	Wake",RN,,Active,"	Durham,	Franklin,	Granville,	Wake"
"	Wake",RN,,Active,"	Durham,	Franklin,	Johnston,	Vance,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	McDowell,	Madison,	Rutherford,	Transylvania,	Yancey"
"	Craven",RN,,Active,"	Carteret,	Craven,	Jones,	Pasquotank,	Perquimans"
"	Surry",RN,,Active,"	Forsyth,	Stokes,	Surry"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Wilson",RN,,Active,"	Edgecombe,	Greene,	Nash,	Pitt,	Wayne,	Wilson"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Mecklenburg",RN,,Active,"	Iredell,	Mecklenburg"
"	Henderson",RN,,Inactive,"	Henderson,	Polk,	Transylvania"
"	Johnston",RN,,Active,"	Johnston,	Wake"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover,	Pender"
"	Forsyth",RN,,Active,"	Forsyth"
"	Lincoln",RN,,Active,"	Lincoln"
"	Wake","Other, please specify:",compact RN license from VA and registered NP in NC (do not yet have NPI number),Active,"	Durham,	Wake"
"	Durham",RN,,Active,"	Cumberland,	Durham,	Wake"
"	Wake",RN,,Active,"	Chatham,	Wake"
"	Durham",,,Active,"	Durham,	Wake"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Brunswick",RN,,Active,"	Brunswick"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Granville,	Orange,	Vance"
"	Wake",RN,,Inactive,"	Northampton,	Vance,	Wake"
"	Harnett",RN,,Active,"	Cumberland,	Harnett,	Johnston,	Sampson"
"	Wake",Retired,,Inactive,"	Wake"
"	Chatham",RN,,Active,"	Chatham"
"	Davie",RN,,Active,"	Davie,	Forsyth,	Yadkin"
"	Davie",RN,,Active,"	Davie,	Forsyth,	Yadkin"
"	Forsyth","Other, please specify:",CNA,Active,"	Johnston,	Wake"
"	Orange",NP,,Active,"	Orange"
"	Durham",RN,,Active,"	Chatham,	Durham,	Granville,	Orange,	Vance"
"	Mecklenburg",RN,,,"	Mecklenburg"
"	Orange",Retired,,Inactive,"Alamance,	Alexander,	Alleghany,	Anson,	Ashe,	Avery,	Beaufort,	Bertie,	Bladen,	Brunswick,	Buncombe,	Burke,	Cabarrus,	Caldwell,	Camden,	Carteret,	Caswell,	Catawba,	Chatham,	Cherokee,	Chowan,	Clay,	Cleveland,	Columbus,	Craven,	Cumberland,	Currituck,	Dare,	Davidson,	Davie,	Duplin,	Durham,	Edgecombe,	Forsyth,	Franklin,	Gaston,	Gates,	Graham,	Granville,	Greene,	Guilford,	Halifax,	Harnett,	Haywood,	Henderson,	Hertford,	Hoke,	Hyde,	Iredell,	Jackson,	Johnston,	Jones,	Lee,	Lenoir,	Lincoln,	McDowell,	Macon,	Madison,	Martin,	Mecklenburg,	Mitchell,	Montgomery,	Moore,	Nash,	New Hanover,	Northampton,	Onslow,	Orange,	Pamlico,	Pasquotank,	Pender,	Perquimans,	Person,	Pitt,	Polk,	Randolph,	Richmond,	Robeson,	Rockingham,	Rowan,	Rutherford,	Sampson,	Scotland,	Stanly,	Stokes,	Surry,	Swain,	Transylvania,	Tyrrell,	Union,	Vance,	Wake,	Warren,	Washington,	Watauga,	Wayne,	Wilkes,	Wilson,	Yadkin,	Yancey"
"	Chatham","Other, please specify:",expired license RN,Inactive,"Alamance,	Caswell,	Chatham,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Wilson"
"	Wake",NP,,Active,"	Wake"
"	Catawba",RN,,Active,"	Burke,	Catawba"
"	Wake",Retired,,Active,"Alamance,	Franklin,	Granville,	Guilford,	Henderson,	Orange,	Person,	Wake"
"	Brunswick",RN,,Active,"	Brunswick"
"	Wake",RN,,Active,"	Durham,	Orange,	Person,	Wake"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Moore",Retired,,Inactive,"	Hoke,	Moore"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Mecklenburg",Retired,,Inactive,"	Mecklenburg,	Union"
"	Buncombe",Retired,,Active,"	Buncombe"
Yancey,RN,,Active,"	Buncombe,	Henderson,	McDowell,	Madison,	Yancey"
"	Durham",NP,,,"	Chatham,	Durham,	Wake"
"	New Hanover",RN,,Active,"	New Hanover"
"	Buncombe",RN,,Active,"	Buncombe,	Madison,	Yancey"
"	Guilford",Retired,,,"	Guilford,	Randolph"
"	Guilford",Retired,,,"	Guilford,	Randolph"
"	Wake","Other, please specify:",CRNA,Active,"	Lee,	Wake"
Alamance,RN,,Active,Alamance
"	Wake",RN,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Forsyth"
"	Wake",RN,,Active,"	Wake"
"	Catawba",RN,,Active,"	Catawba,	Iredell"
"	Cabarrus",NP,,Active,"	Cabarrus,	Davidson,	Mecklenburg"
"	Wake",NP,,Active,"Alamance,	Beaufort,	Carteret,	Craven,	Durham,	Halifax,	Johnston,	Jones,	New Hanover,	Wake"
"	Gaston",NP,,Active,"	Cleveland,	Gaston"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Wayne",RN,,Active,"	Johnston,	Wayne,	Wilson"
"	Wayne","Other, please specify:",Retired RN,Active,"	Wayne"
"	Iredell",RN,,Active,"	Alexander,	Cabarrus,	Catawba,	Davie,	Gaston,	Iredell,	Lincoln,	Mecklenburg,	Rowan,	Wilkes,	Yadkin"
"	Wake",RN,,Active,"	Wake"
"	Henderson",RN,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Haywood",RN,,Active,"	Buncombe,	Haywood"
"	Wake",RN,,Active,"	Carteret,	Orange,	Wake"
"	Forsyth","Other, please specify:",Rn,Inactive,"	Davie,	Forsyth"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Forsyth,	Gaston,	Guilford,	Mecklenburg"
"	Orange","Other, please specify:",Public health ,,"	Cabarrus,	Chatham,	Durham,	Forsyth,	Graham,	Mecklenburg,	Orange,	Person,	Wake"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Wake"
"	Mecklenburg",RN,,Active,"	Catawba,	Forsyth,	Guilford,	Iredell,	Mecklenburg,	Rockingham"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	Buncombe",RN,,Active,"	Buncombe"
"	Guilford",RN,,Active,"	Guilford"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Transylvania",RN,,Active,"	Cherokee,	Henderson,	Transylvania"
"	Lincoln",RN,,Inactive,"	Lincoln"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
Alamance,RN,,Active,"Alamance,	Guilford"
"	Wake",RN,,Active,"	Wake"
"	Durham",RN,,Active,"	Durham"
"	Wake","Other, please specify:",CRNA,Active,"	Wake"
"	Forsyth",RN,,Active,"	Forsyth,	Stokes"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Durham,	Franklin,	Johnston,	Orange,	Wake"
"	Wake",RN,,Active,"	Durham,	Johnston,	Orange,	Wake"
"	Buncombe",NP,,Active,"	Buncombe"
"	Cabarrus",RN,,Active,"	Cabarrus"
"	Wake","Other, please specify:",NP inactive,Active,"	Chatham,	Johnston,	Lee"
"	Johnston",RN,,Active,"	Johnston,	Wake,	Wilson"
"	Randolph",RN,,Active,"	Guilford,	Randolph"
"	Catawba",RN,,Active,"	Catawba"
"	Nash",RN,,Active,"	Edgecombe,	Franklin,	Halifax,	Johnston,	Nash,	Wilson"
"	Wake","Other, please specify:",CRNA ,Active,"	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Watauga"
"	Brunswick",NP,,Active,"	Brunswick,	Columbus,	New Hanover,	Pender"
"	Lee",NP,,Active,"	Chatham,	Lee,	Moore,	Wake"
"	Mecklenburg",RN,,Active,"	Gaston,	Mecklenburg,	Union"
"	Orange",RN,,Active,"	Orange"
"	Rowan",RN,,Active,"	Rowan"
"	Forsyth",RN,,Active,"	Forsyth"
"	Wake",RN,,Active,"	Wake"
"	Wake",NP,,Active,"	Durham,	Orange,	Wake"
"	Harnett","Other, please specify:",MSN,Active,"	Chatham,	Cumberland,	Durham,	Franklin,	Harnett,	Johnston,	Lee,	Moore,	Nash,	Sampson,	Wake,	Wayne"
"	Pitt",RN,,Active,"	Pitt"
"	Orange",RN,,Active,"	Chatham,	Orange,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Orange",RN,,Active,"	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Buncombe",RN,,Active,"	Buncombe"
"	Wake",RN,,Active,"	Wake"
"	Iredell","Other, please specify:",Certified Nurse Midwife ,Active,"	Cabarrus,	Catawba,	Iredell,	Lincoln,	Mecklenburg,	Yadkin"
"	Hertford",LPN,,Active,"	Bertie,	Gates,	Hertford"
"	Forsyth",RN,,Active,"	Forsyth"
"	Gaston",RN,,Active,"	Cabarrus,	Gaston,	Mecklenburg,	Union"
"	Forsyth",NP,,Active,"	Davie,	Forsyth"
"	Beaufort",NP,,Active,"	Beaufort"
"	Guilford",RN,,Active,"Alamance,	Forsyth,	Guilford,	Randolph"
"	Iredell",RN,,Active,"	Alexander,	Iredell"
"	Davidson",RN,,Active,"	Davidson,	Davie,	Forsyth,	Guilford,	Montgomery,	Randolph,	Rowan,	Stanly"
"	Durham",RN,,Active,"Alamance,	Chatham,	Durham,	Orange"
"	Iredell",RN,,Active,"	Iredell"
"	Iredell",RN,,Active,"	Alexander,	Iredell"
"	Orange",RN,,Active,"	Brunswick,	Durham,	Orange"
"	Guilford",RN,,Active,"Alamance,	Forsyth,	Guilford"
"	Guilford",RN,,Active,"Alamance,	Davidson,	Guilford,	Randolph"
"	Wake",NP,,Active,"	Lee,	Moore,	Orange,	Pitt,	Wake"
"	Catawba",RN,,Active,"	Alexander,	Burke,	Caldwell,	Catawba,	Iredell,	Wilkes"
"	Wake",RN,,Active,"Alamance,	Chatham,	Cumberland,	Durham,	Franklin,	Johnston,	Orange,	Wake"
"	Pender",RN,,Active,"	New Hanover,	Pender"
"	Randolph",RN,,Active,"	Guilford,	Randolph,	Rockingham"
"	Wake",RN,,Active,"	Chatham,	Durham,	Harnett,	Johnston,	Orange,	Wake"
"	Harnett",LPN,,Active,"	Harnett,	Johnston"
"	New Hanover",RN,,Active,"	Bladen,	Brunswick,	Columbus,	New Hanover,	Onslow,	Pender"
"	Cumberland",LPN,,Active,"	Anson,	Hoke,	Richmond,	Union"
"	Orange",RN,,Active,"	Chatham,	Durham,	Granville,	Orange,	Wake"
"	Chatham","Other, please specify:",non-nurse volunteer,,"	Chatham,	Orange"
"	Wake",RN,,Active,"	Chatham,	Durham,	Franklin,	Granville,	Harnett,	Johnston,	Orange,	Wake"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Lee",RN,,Active,"	Lee"
"	Nash",RN,,Active,"	Johnston,	Nash,	Wilson"
"	Rutherford",LPN,,Active,"	Buncombe,	Cleveland,	Henderson,	Polk,	Rutherford"
"	Avery",RN,,Active,"	Avery,	Burke,	Catawba,	Mitchell,	Surry,	Watauga"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Cumberland,	Harnett,	Johnston,	Wake"
"	Harnett",RN,,Active,"	Harnett,	Lee,	Wake"
"	Wake",NP,,Inactive,"	Wake"
"	Wake",RN,,Active,"	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Catawba",RN,,Active,"	Alexander,	Catawba,	Lincoln"
"	Gaston",RN,,Active,"	Brunswick,	Buncombe,	Gaston,	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Gaston,	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Cumberland,	Harnett,	Johnston,	Wake"
"	Chatham",NP,,Active,"Alamance,	Chatham,	Lee,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Gaston,	Iredell,	Mecklenburg"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Durham,	Orange,	Robeson,	Wake"
"	Rutherford",RN,,Active,"	Cleveland,	Polk,	Rutherford"
"	Johnston",LPN,,Active,"Alamance,	Chatham,	Chowan,	Cumberland,	Dare,	Durham,	Edgecombe,	Franklin,	Granville,	Greene,	Harnett,	Hoke,	Johnston,	Lee,	Lenoir,	Moore,	Nash,	Orange,	Pitt,	Sampson,	Wake,	Wayne,	Wilson"
"	Durham",RN,,Active,"Alamance,	Durham,	Granville,	Orange,	Person"
"	Wilson",RN,,Active,"	Nash,	Wayne,	Wilson"
"	Iredell",RN,,Active,"	Iredell,	Wilkes"
"	Carteret",LPN,,Active,"	Carteret,	Craven"
"	Johnston",RN,,Active,"	Durham,	Johnston,	Wake"
"	Iredell",RN,,Active,"	Iredell"
"	Guilford",RN,,Active,"	Guilford"
"	Lee",RN,,Active,"	Lee"
"	Durham",RN,,Active,"	Durham"
"	Wake",RN,,Active,"	Harnett,	Johnston,	Wake"
"	Harnett",RN,,Active,"	Harnett,	Johnston,	Wake"
"	Guilford",RN,,Active,"Alamance,	Guilford,	Randolph,	Rockingham"
"	Stokes","Other, please specify:",BSN,Active,"	Alleghany,	Stokes,	Surry"
"	Durham",RN,,Active,"Alamance,	Durham,	Orange,	Wake"
"	Currituck","Other, please specify:","RN, CRNA",Active,"	Currituck,	Dare"
"	Ashe",RN,,Active,"	Alleghany,	Ashe,	Buncombe,	McDowell,	Wilkes"
"	Union",Retired,,Inactive,"	Mecklenburg,	Union"
"	Forsyth",RN,,Active,"	Davie,	Forsyth,	Stokes,	Yadkin"
"	Gaston",LPN,,,"	Cleveland,	Gaston,	Mecklenburg"
