asked_volunteer,volunteer_county,complete_volunteer,completed_county,employed,employed_nursing
No,"	Transylvania",,,No,
No,"	Chatham",,,Yes,Yes – full time
No,"	Lincoln",,,No,
No,"	Buncombe,	Henderson",,,Yes,Yes – full time
Yes,,No,,No,
No,"	Mecklenburg,	Union",,,Yes,Yes – full time
No,"	Guilford,	Rockingham",,,Yes,No
Yes,,Yes,"	Cabarrus",Yes,Yes – part time
Yes,,Yes,"	Davidson",Yes,Yes – part time
No,"	Guilford",,,No,
No,"	Johnston,	Wake",,,Yes,Yes – full time
Yes,,No,,No,
Yes,,Yes,"	Davidson",No,
No,"	Davie,	Forsyth,	Yadkin",,,No,
No,"	Lincoln,	Mecklenburg",,,No,
No,"	Wake",,,No,
No,"	Cumberland,	Hoke,	Moore,	New Hanover,	Richmond,	Robeson,	Rockingham,	Sampson,	Scotland",,,No,
Yes,,Yes,"	Watauga",No,
No,"	Gaston",,,Yes,Yes – full time
Yes,,Yes,"	Currituck",Yes,Yes – part time
No,"	Gaston,	Lincoln",,,No,
No,"	Rutherford",,,No,
No,"	Davidson,	Rowan",,,No,
No,"	Cabarrus,	Mecklenburg",,,Yes,Yes – full time
No,"	Camden,	Currituck,	Pasquotank",,,No,
No,"	Mecklenburg,	Union",,,Yes,Yes – part time
No,"	Harnett,	Lee",,,Yes,Yes – part time
No,"	Lee,	Moore",,,No,
No,"	Mecklenburg",,,No,
Yes,,Yes,"	Polk",No,
No,"	Catawba,	Lincoln",,,No,
No,"	Alleghany,	Ashe,	Davie,	Yadkin",,,Yes,Yes – part time
No,"	Carteret",,,Yes,Yes – full time
No,"	Henderson",,,Yes,Yes – part time
Yes,,Yes,"	Warren",No,
Yes,,Yes,"	Wake",Yes,Yes – part time
No,"	Mecklenburg",,,Yes,Yes – part time
No,"	Wake",,,No,
Yes,,Yes,"	Buncombe",No,
No,"	Brunswick,	New Hanover",,,Yes,Yes – full time
No,"	Chatham",,,No,
No,"	Davidson,	Davie,	Forsyth,	Guilford,	Stokes,	Surry,	Wilkes,	Yadkin",,,Yes,Yes – full time
Yes,,Yes,"	Wake",Yes,Yes – full time
No,"	Cumberland",,,Yes,Yes – part time
Yes,,Yes,"	Lee",Yes,Yes – part time
No,"	Cabarrus,	Mecklenburg",,,No,
No,"	Brunswick,	Davidson,	Davie,	Forsyth,	Guilford,	Mecklenburg,	New Hanover,	Pender,	Stokes,	Surry,	Wake",,,Yes,No
No,"	Brunswick",,,No,
No,"Alexander,	Iredell",,,Yes,Yes – full time
Yes,,Yes,"	Carteret",No,
Yes,,No,,No,
No,"	New Hanover",,,No,
Yes,,No,,No,
No,"	Jackson,	Macon",,,Yes,Yes – full time
No,"	Durham,	Wake",,,Yes,Yes – full time
No,"	Wake",,,No,
No,"	Cherokee,	Clay,	Haywood,	Jackson,	Swain,	Transylvania",,,Yes,Yes – full time
No,"	Mecklenburg",,,No,
No,"	Wake",,,Yes,Yes – part time
Yes,,Yes,Alamance,Yes,Yes – part time
No,"	Henderson",,,No,
Yes,,Yes,"	Carteret",No,
No,"	Brunswick",,,No,
Yes,,No,,No,
No,"	Brunswick",,,No,
Yes,,No,,No,
Yes,,No,,Yes,Yes – full time
No,"	Gaston",,,No,
No,"	Franklin,	Granville,	Wake",,,Yes,Yes – full time
Yes,,Yes,"	Orange",No,
Yes,,Yes,"	Davidson",Yes,Yes – full time
No,"	Wake",,,No,
No,"	Pender",,,No,
Yes,,Yes,"	Guilford",No,
No,"	New Hanover",,,Yes,Yes – full time
Yes,,Yes,"	Buncombe",Yes,Yes – part time
No,"	Craven,	Duplin,	Durham,	Johnston,	Jones,	Lenoir,	Pamlico,	Pitt,	Wake,	Wayne,	Wilson",,,No,
No,All counties,,,Yes,Yes – full time
No,"	Davidson,	Forsyth,	Stokes",,,No,
No,"	Ashe,	Watauga",,,Yes,Yes – part time
No,"	Henderson,	Polk",,,Yes,No
Yes,,No,,No,
Yes,,Yes,"	Cabarrus",No,
No,"	Wake",,,Yes,Yes – full time
No,"	Durham,	Wake",,,No,
Yes,,Yes,"	Buncombe",No,
No,"	New Hanover,	Onslow,	Pender",,,Yes,Yes – full time
Yes,,Yes,"	Brunswick",No,
Yes,,Yes,"	Watauga",Yes,Yes – part time
Yes,,No,,No,
Yes,,Yes,"	Onslow",No,
No,"	Surry",,,Yes,Yes – full time
Yes,,Yes,"	Edgecombe",Yes,Yes – part time
No,"	Catawba",,,No,
No,"	Guilford",,,Yes,Yes – full time
No,"	Forsyth",,,No,
No,"	Durham,	Harnett,	Johnston,	Orange,	Wake",,,Yes,Yes – full time
No,"	Cumberland,	Harnett,	Johnston,	Robeson,	Wake",,,No,
Yes,,Yes,"	Cabarrus",Yes,Yes – full time
No,"	Chatham,	Harnett,	Lee,	Moore",,,No,
Yes,,No,,No,
Yes,,No,,No,
No,"	Jackson,	Macon,	Swain",,,No,
No,"	Brunswick,	Rowan",,,No,
Yes,,Yes,"	Wilkes",Yes,Yes – full time
No,"	Beaufort,	Brunswick,	Edgecombe,	New Hanover,	Pender,	Pitt",,,No,
No,"	Gaston,	Mecklenburg",,,No,
No,"	Buncombe",,,No,
No,"	Wake",,,No,
No,"	Mecklenburg,	Union",,,Yes,Yes – part time
Yes,,Yes,"	Durham",Yes,Yes – full time
No,"	New Hanover",,,Yes,Yes – full time
No,"	Wake",,,No,
,,,,,
No,"	Mecklenburg",,,No,
Yes,,Yes,"	Polk",Yes,Yes – full time
No,"	Forsyth",,,No,
No,"	Catawba",,,Yes,Yes – part time
No,"	Forsyth,	Guilford,	Rockingham",,,Yes,Yes – full time
No,"	Mecklenburg",,,Yes,Yes – part time
No,"	Duplin,	Pender",,,No,
Yes,,Yes,"	Orange",Yes,No
No,"	Mecklenburg,	Union",,,Yes,Yes – full time
No,"	Durham,	Wake",,,No,
Yes,,Yes,"	Guilford",No,
No,"	Davidson,	Davie,	Randolph,	Rowan",,,No,
Yes,,Yes,"	Wilkes",No,
Yes,,Yes,"	Johnston,	Wake",No,
No,"	Buncombe,	Henderson,	Madison",,,No,
Yes,,Yes,"	Wake",Yes,No
No,"	Lee,	New Hanover",,,Yes,Yes – full time
Yes,,Yes,"	Orange",No,
No,"	Cabarrus,	Rowan,	Stanly",,,No,
No,"	Nash",,,No,
Yes,,No,,No,
Yes,,Yes,Alamance,No,
Yes,,No,,No,
No,"	Franklin,	Wake",,,No,
No,"	Harnett,	Johnston,	Wake",,,No,
No,"	Jackson,	Macon",,,Yes,Yes – full time
No,All counties,,,Yes,Yes – full time
Yes,,No,,No,
No,"	Lincoln,	Watauga",,,Yes,No
No,"	Wake",,,Yes,Yes – full time
No,"	Wake",,,Yes,Yes – full time
Yes,,No,,Yes,Yes – part time
Yes,,No,,Yes,Yes – full time
No,"	Guilford",,,No,
No,"	Wayne",,,Yes,Yes – part time
Yes,,No,,Yes,Yes – full time
No,"	Wake",,,Yes,Yes – full time
No,"	Cleveland,	Gaston",,,Yes,Yes – part time
No,"	Craven,	Pamlico",,,Yes,No
No,"	Cumberland,	Hoke,	Sampson",,,No,
No,"	Brunswick",,,No,
Yes,,Yes,"	Cabarrus",No,
No,"	Mecklenburg",,,Yes,No
No,"	Brunswick",,,Yes,Yes – part time
No,"	Catawba",,,Yes,Yes – part time
No,"	New Hanover,	Perquimans",,,Yes,Yes – part time
Yes,,No,,No,
No,"	Clay,	Jackson,	Macon,	Swain",,,No,
Yes,,Yes,"	Carteret",No,
No,"	Lincoln,	Mecklenburg",,,Yes,Yes – part time
No,All counties,,,Yes,Yes – full time
No,"	Chatham,	Wake",,,No,
No,"	Burke",,,No,
No,"	Cumberland,	Robeson",,,Yes,Yes – full time
No,"	New Hanover,	Onslow,	Pender",,,No,
No,"	Carteret,	Craven",,,No,
No,"	Mecklenburg",,,Yes,Yes – part time
No,"	Ashe,	Avery,	Watauga",,,No,
Yes,,Yes,"	Durham,	Orange,	Person",No,
No,"	Wake",,,No,
No,"Alexander,	Burke,	Caldwell",,,Yes,Yes – full time
Yes,,Yes,Wayne,Yes,Yes – part time
No,"	Mecklenburg",,,No,
Yes,,Yes,"	Lee",Yes,Yes – part time
Yes,,Yes,"	Orange",Yes,Yes – part time
No,"	Davie,	Forsyth",,,Yes,Yes – full time
Yes,,Yes,"	Wake",Yes,Yes – full time
No,"	Columbus",,,Yes,Yes – full time
No,"	Brunswick,	New Hanover,	Pender",,,No,
No,"	Granville",,,Yes,Yes – full time
No,"	Davidson,	Forsyth",,,Yes,Yes – part time
No,"	Gaston",,,No,
No,"	Buncombe,	Haywood,	Swain",,,Yes,Yes – part time
No,"	Guilford",,,No,
Yes,,,,Yes,Yes – full time
Yes,,Yes,Wayne,No,
Yes,,Yes,"	Carteret",Yes,Yes – part time
No,"	Buncombe,	Cherokee,	Henderson,	McDowell,	Polk,	Transylvania",,,Yes,Yes – full time
Yes,,Yes,"	Cabarrus",Yes,No
Yes,,Yes,"	Onslow",Yes,Yes – part time
Yes,,Yes,"	New Hanover",Yes,Yes – part time
No,"	Mecklenburg,	Union",,,No,
Yes,,Yes,"	Guilford",Yes,Yes – part time
No,"	Mecklenburg",,,Yes,Yes – full time
No,"	Iredell",,,No,
No,"	Brunswick,	New Hanover,	Pender",,,Yes,Yes – full time
Yes,,Yes,"	Guilford,	Randolph",Yes,Yes – full time
No,"	Mecklenburg",,,No,
No,"	Brunswick",,,Yes,Yes – full time
Yes,,Yes,"	Orange",Yes,Yes – full time
Yes,,Yes,"	Durham,	Granville,	Wake",No,
Yes,,Yes,"	Davidson",Yes,Yes – part time
No,"	Henderson,	Transylvania",,,No,
Yes,,No,,No,
No,Alamance,,,No,
Yes,,No,,Yes,Yes – part time
Yes,,Yes,"	Buncombe",No,
Yes,,Yes,"	Watauga",No,
Yes,,Yes,"	Johnston",Yes,Yes – part time
No,"	Orange",,,Yes,Yes – part time
No,"	Johnston,	Wayne",,,No,
Yes,,Yes,"	Orange",Yes,Yes – full time
No,"	Buncombe,	Henderson,	McDowell,	Transylvania",,,No,
No,"	Chatham",,,Yes,Yes – part time
Yes,,Yes,"	Wake",No,
No,"	Buncombe",,,Yes,Yes – full time
Yes,,Yes,"	Cabarrus",No,
No,"	Durham,	Orange",,,No,
No,"	Chatham,	Durham,	Orange,	Wake",,,No,
No,"	Wake",,,Yes,Yes – full time
No,"	Forsyth,	Guilford,	Rockingham,	Stokes",,,Yes,Yes – full time
No,"	Forsyth",,,No,
No,"	Sampson",,,Yes,Yes – full time
Yes,,Yes,"	Lee,	Wake",Yes,Yes – part time
No,"	Montgomery,	Moore,	Richmond",,,No,
No,,,,,
Yes,,Yes,,,
Yes,,Yes,,,
No,"	Gaston,	Lincoln,	Mecklenburg",,,Yes,Yes – full time
Yes,,Yes,,,
No,"Alamance,	Wake",,,No,
No,"	Mecklenburg",,,No,
Yes,,Yes,"	Johnston",Yes,No
No,"	Chatham,	Durham,	Franklin,	Henderson,	Johnston,	Person,	Vance,	Wake",,,Yes,Yes – full time
No,"	Wake",,,Yes,Yes – full time
No,"	Alleghany,	Ashe,	Avery,	Watauga",,,No,
No,"	Brunswick,	Wake",,,Yes,Yes – full time
Yes,,Yes,"	Haywood",No,
No,"	Chatham,	Durham,	Orange",,,Yes,Yes – part time
No,"	Catawba",,,Yes,Yes – part time
No,"	Durham,	Orange,	Wake",,,No,
No,"	Durham,	Wake",,,Yes,Yes – full time
Yes,,Yes,"	Cabarrus",No,
No,"	Durham,	Orange",,,Yes,Yes – part time
Yes,,Yes,"	Polk",No,
No,"	Davie,	Stokes,	Surry,	Yadkin",,,No,
No,"	Lenoir",,,No,
No,"	Ashe,	Avery,	Watauga",,,Yes,Yes – full time
No,"	Brunswick,	Nash,	New Hanover,	Pamlico",,,No,
No,"	Carteret",,,Yes,Yes – full time
No,"	Harnett,	Johnston,	Lee,	Wake,	Wayne,	Wilson",,,Yes,Yes – full time
Yes,,Yes,"	Buncombe",No,
Yes,,Yes,"	Buncombe",Yes,Yes – full time
No,"	Halifax,	Hertford,	Northampton",,,Yes,Yes – full time
No,"	Cleveland,	Mecklenburg,	Union",,,No,
Yes,,No,,Yes,Yes – part time
No,"	Cumberland,	Moore",,,No,
No,"	Rockingham,	Stokes",,,Yes,Yes – part time
No,"	Brunswick,	New Hanover,	Pender",,,Yes,Yes – full time
No,"	Bertie,	Chowan,	Gates,	Hertford",,,No,
Yes,,Yes,"	Buncombe",No,
Yes,,Yes,"	Johnston,	Wake",Yes,Yes – part time
Yes,,No,,Yes,Yes – part time
Yes,,Yes,"	Moore",No,
No,"	New Hanover,	Pender",,,No,
